Analysis 分析
Approach 方法
Area 地区领域
Assessment 评价
Assume 假设
Authority 权威
Available 可提供的
Benefit 好处，受益
Concept 概念
Consistent 一致的
Constitutional 宪法的
Context 环境
Contract 收缩，合同
Create 创造
Data 数据
Definition 定义
Derived 由来，派生
Distribution 分布
Economic 经济的
Environment 环境
Establish 建立
Estimate 估计
Evidence 证据
Export 出口
Factors 因素
Financial 金融的
Formula 公式
Function 功能
Identified 确认的
Income 收入
Indicate 指出
Individual 个人的
Interpretation 理解
Involved 涉及到
Issues 问题
Labour 劳动力
Legal 合法的
Legislation 立法
Major 主要的，专业
Method 方法
Occur 出现
Percent 百分之
Period 时期
Policy 政策
Principle 原则
Procedure 步骤
Process 过程，处理
Required 必须的
Research 研究
Response 回应
Role 角色，作用
Section 部分
Sector 行业，区域
Significant 重要的
Similar 相似的
Source 源头
Specific 具体的
Structure 结构
Theory 理论
Variables 变量
Achieve 获得
Acquisition 收购获得
Administration 管理
Affect 影响
Appropriate 合适的
Aspects 方面
Assistance 协助
Categories 种类
Chapter 章节
Commission 委托
Community 社区
Complex 组成的，合成的
Computer 电脑
Conclusion 结论
Conduct 做
Consequences 后果
Construction 建设
Consumer 顾客
Credit 信用
Cultural 文化的
Design 设计
Distinction 区别
Elements 元素
Equation 等式
Evaluation 评价
Features 特点
Final 最后的
Focus 关注
Impact 影响
Injury 受伤
Institute 协会
Investment 投资
Items 项目条款
Journal 期刊
Maintenance 维修
Normal 正常的
Obtained 获得
Participation 参与
Perceive 认识到
Positive 积极的
Potential 潜在的
Previous 之前的
Primary 主要的
Purchase 购买
Range 范围
Region 地区
Regulations 规则
Relevant 相关的
Resident 定居者
Resources 资源
Restricted 受限
Security 安全
Sought 寻找（过去式）
Select 选择
Site 选址
Strategies 策略
Survey 调查
Text 文本
Traditional 传统的
Transfer 转移
Alternative 可供选择的
Circumstance 环境
Comments 评论
Compensation 补偿
Components 组成部分
Consent 同意
Considerable 大量的
Constant 连续的
Constraints 限制
Contribution 贡献
Convention 准则
Coordination 协调
Core 核心的
Corporate 大公司
Corresponding 相应的
Criteria 标准
Deduction 减除
Demonstrate 证明
Document 文件
Dominant 主导的
Emphasis 重要性
Ensure 确保
Excluded 排除
Framework 框架
Funds 资金
Illustrated 给...插图
Immigration 移民
Implies 暗示
Initial 开始的
Instance 例子
Interaction 互动
Justification 证明正确
Layer 层
Link 连接
Location 地点
Maximum 最大
Minorities 少数
Negative 消极的
Outcomes 结果
Partnership 合作
Philosophy 哲学
Physical 身体的
Proportion 部分比例
Publish 出版
Reaction 反应
Registered 登记
Reliance 依靠
Removed 移开
Scheme 计划方案
Sequence 顺序
Sex 性
Shift 转换
Specified 具体说明的
Sufficient 足够的
Task 任务
Technical 技术的
Techniques 技术
Technology 技术
Validity 合法性
Volume 量
Access 获得
Adequate 足够的
Annual 年度的
Apparent 明显的
Approximate 近似
Attitudes 态度
Attributed 归因于
Civil 国内的
Code 代码
Commitment 承诺
Communication 交流
Concentration 浓度
Conference 会议
Contrast 对比
Cycle 循环
Debate 辩论
Despite 尽管
Dimensions 维度
Domestic 国内的
Emerge 出现
Error 错误
Ethnic 民族的
Goals 目标
Granted 授予
Hence 因此
Hypothesis 假说
Implementation 实施
Implications 含义暗示
Imposed 加强
Integration 结合
Internal 内部的
Investigation 调查
Job 工作
Label 标签
Mechanism 机制
Obvious 明显的
Occupational 职业的
Option 选择
Output 产出
Overall 整体的
Parallel 平行
Parameters 参数
Phase 阶段
Predicted 预测
Principal 主要的
Prior 先前的
Professional 专业的
Project 项目
Promote 促进
Regime 政权
Resolution 决心
Retained 保留
Series 系列
Statistics 统计
Status 地位
Stress 压力
Subsequent 紧随其后的
Sum 总量
Summary 总结
Undertaken 承担
Academic 学术的
Adjustment 调整
Alter 改变
Amendment 修订
Aware 注意到
Capacity 能力
Challenge 挑战
Clause 从句
Compounds 混合物
Conflict 矛盾
Consultation 咨询
Contact 接触
Decline 下降
Discretion 谨慎
Draft 草稿
Enable 使...能
Energy 能量
Enforcement 强制执行
Entities 实物
Equivalent 相等的
Evolution 进化
Expansion 扩张
Exposure 接触
External 外部的
Facilitate 协助
Fundamental 根本的
Generated 产生
Generation 代 
Image 图像
Liberal 开明的
Licence 执照
Logic 逻辑
Marginal 边缘的
Medical 医学的
Mental 精神的
Modified 修改
Monitoring 监督
Network 网络
Notion 概念
Objective 客观的
Orientation 定位
Perspective 角度
Precise 精准的
Prime 主要的
Psychology 心理学
Pursue 追逐
Ratio 比例
Rejected 拒绝
Revenue 税收
Stability 稳定性
Style 风格
Substitution 替代物
Sustainable 可持续的
Symbolic 象征的
Target 目标
Transition 过度
Trend 潮流
Version 版本
Welfare 福祉
Whereas 却
Abstract 摘要
Accurate 准确的
Acknowledge 承认
Aggregate 总计
Allocation 分配
Assigned 指派
Attached 粘附
Author 作者
Bond 纽带
Brief 简洁的
Capable 有能力的
Cite 引用
Cooperative 合作的
Discrimination 歧视
Display 显示
Diversity 多样性
Domain 领域
Edition 版本
Enhanced 提高
Estate 地产
Exceed 超过
Expert 专家
Explicit 明显的
Federal 联邦的
Fees 费用
Flexibility 灵活性
Furthermore 而且
Gender 性别
Ignored 忽视
Incentive 刺激
Incidence 发生
Incorporate 纳入
Index 索引
Inhibition 内抑感
Initiatives 主动性
Input 输入
Instructions 指示
Intelligence 智力
Interval 间隔
Lecture 讲座
Migration 迁徙
Minimum 最小
Ministry 部
Motivation 动机
Neutral 中立的
Nevertheless 然而
Overseas 海外的
Precede 先于
Presumption 推测
Rational 合理的
Recovery 恢复
Revealed 揭示
Scope 范围
Subsidiary 次要的
Tapes 带子
Trace 追踪
Transformation 蜕变
Transport 交通
Underlying 潜在的
Utility 实用效用
Adaptation 适应
Adults 成年人
Advocate 支持
Aid 帮助
Channel 渠道
Chemical 化学的
Classical 经典的
Comprehensive 全面的
Comprise 由...组成
Confirmed 确定
Contrary 相反的
Converted 转换
Couple 一对
Decade 十年
Definite 明确的
Deny 否认
Differentiation 区分
Disposal 丢弃
Dynamic 动态的
Eliminate 消除
Empirical 经验主义的
Equipment 设备
Extract 提取
File 文件
Finite 有限的
Foundation 基础
Global 全球的
Grade 成绩
Guarantee 保证
Hierarchical 分等级的
Identical 相似的
Ideology 意识形态
Inferred 推断
Innovation 创新
Insert 嵌入
Intervention 干预
Isolate 使孤立
Media 媒体
Mode 模式
Paradigm 范例
Phenomenon 现象
Priority 优先权
Prohibited 禁止
Publication 出版物
Quotation 引用
Release 释放
Reverse 倒退
Simulation 模仿
Solely 独自的
Somewhat 稍微
Submit 提交
Successive 连续的
Survive 幸存
Thesis 论文
Topic 主题
Transmission 传播
Ultimately 最终地
Unique 独特的
Visible 可见的
Voluntary 自愿的
Abandon 放弃
Accompanied 陪伴
Accumulation 积累
Ambiguous 模糊的
Appendix 附录
Appreciation 感激
Arbitrary 武断的
Automatically 自动的
Bias 偏见
Chart 图表
Clarity 清楚
Conformity 遵守
Commodity 商品
Complement 补充
Contemporary 现代的
Contradiction 矛盾
Crucial 重要的
Currency 货币
Denote 指示
Detected 察觉
Deviation 偏离
Displacement 位移
Dramatic 戏剧的
Eventually 最后的
Exhibit 展示
Exploitation 充分利用
Fluctuations 波动
Guidelines 指导
Highlighted 强调
Implicit 含蓄的
Induced 引诱
Inevitably 不可避免的
Infrastructure 基础设施
Inspection 检查
Intensity 强度
Manipulation 操控
Minimised 最小化
Nuclear 核
Offset 抵消
Paragraph 段落
Plus 加
Practitioners 从业者
Predominantly 主导的
Prospect 前景
Radical 根本的
Random 随意的
Reinforced 加强
Restore 存储
Revision 修订
Schedule 行程表
Tension 紧张
Termination 终结
Theme 主题
Thereby 因此
Uniform 不变的
Vehicle 工具轿车
Via 通过
Virtually 几乎
Widespread 普遍的
Visual 视觉的
Accommodation 住宿
Analogous 类比的
Anticipated 预料
Assurance 确保
Attained 获得
Behalf 为了...的利益
Bulk 体积
Ceases 停止
Coherence 协调的
Coincide 同时发生的
Commenced 开始
Incompatible 不兼容的
Concurrent 同时发生的
Confined 限制
Controversy 争执
Conversely 相反的
Device 装置
Devoted 投入
Diminished 减少
Distorted/distortion 扭曲
Duration 持续
Erosion 腐蚀
Ethical 道德的
Format 布局
Founded 建立
Inherent 内在的
Insights 洞察力
Integral 必需的
Intermediate 中间的
Manual 用手的
Mature 成熟的
Mediation 调停
Medium 媒介
Military 军事的
Minimal 最小的
Mutual 双方的
Norms 惯例
Overlap 重合
Passive 消极的
Portion 比例
Preliminary 基础的
Protocol 惯例
Qualitative 质的
Refine 提炼
Relaxed 放松的
Restraints 限制
Revolution 革命
Rigid 严格的
Route 线路
Scenario 梗概
Sphere 球面领域
Subordinate 下级的
Supplementary 补充的
Suspended 暂停
Team 团队
Temporary 暂时的
Trigger 引起
Unified 统一的
Violation 违背
Vision 视力
Adjacent 比邻的
Albeit 尽管
Assembly 聚集到一起的人
Collapse 倒塌
Colleagues 同事
Complied 汇编
Conceived 构思
Convinced 使信服
Depression 萧条降低
Encountered 面临
Enormous 巨大的
Forthcoming 即将到来的
Inclination 倾向
Integrity 完整，诚实
Intrinsic 内在的
Invoked 引起产生
Levy 征收
Likewise 同样
Nonetheless 尽管如此
Notwithstanding 尽管
Odd 古怪
Ongoing 持续的
Panel 委员会，小组
Persistent 坚持不懈的
Posed 形成构成
Reluctant 不情愿的
So-called 所谓的
Straightforward 易懂的
Undergo 经受
Whereby 借
